 (-1.518400677090670503e-01+0.000000000000000000e+00j)  (-8.766490396560087939e-02+0.000000000000000000e+00j)  (-2.694575801152659673e-03+2.391598470715720161e-05j)
 (-1.518400677090670503e-01+0.000000000000000000e+00j)  (-2.922163465520029313e-02+0.000000000000000000e+00j)  (-2.018382082153606389e-03+7.764254115763739145e-05j)
 (-1.518400677090670503e-01+0.000000000000000000e+00j)  (2.922163465520029313e-02+0.000000000000000000e+00j)  (-1.346044220964357939e-03-9.977656214583575521e-05j)
 (-1.518400677090670503e-01+0.000000000000000000e+00j)  (8.766490396560087939e-02+0.000000000000000000e+00j)  (-2.694575801152663576e-03-2.391598470715695766e-05j)
 (-1.012267118060447002e-01+0.000000000000000000e+00j)  (-1.168865386208011725e-01+0.000000000000000000e+00j)  (-1.346044220964357505e-03+9.977656214583639218e-05j)
 (-1.012267118060447002e-01+0.000000000000000000e+00j)  (-5.844326931040058626e-02+0.000000000000000000e+00j)  (-3.557911675798451894e-03-1.066345933056113421e-04j)
 (-1.012267118060447002e-01+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.457479375524686715e-03+1.869043190791619958e-05j)
 (-1.012267118060447002e-01+0.000000000000000000e+00j)  (5.844326931040058626e-02+0.000000000000000000e+00j)  (-3.557911675798451027e-03+1.066345933055957567e-04j)
 (-1.012267118060447002e-01+0.000000000000000000e+00j)  (1.168865386208011725e-01+0.000000000000000000e+00j)  (-2.018382082153600317e-03-7.764254115763816395e-05j)
 (-5.061335590302235010e-02+0.000000000000000000e+00j)  (-1.461081732760014518e-01+0.000000000000000000e+00j)  (-2.018382082153605522e-03-7.764254115763548055e-05j)
 (-5.061335590302235010e-02+0.000000000000000000e+00j)  (-8.766490396560087939e-02+0.000000000000000000e+00j)  (3.457479375524687582e-03-1.869043190791197797e-05j)
 (-5.061335590302235010e-02+0.000000000000000000e+00j)  (-2.922163465520029313e-02+0.000000000000000000e+00j)  (2.265294986941646105e-02-1.857720060500747574e-04j)
 (-5.061335590302235010e-02+0.000000000000000000e+00j)  (2.922163465520029313e-02+0.000000000000000000e+00j)  (2.265294986941645758e-02+1.857720060500700412e-04j)
 (-5.061335590302235010e-02+0.000000000000000000e+00j)  (8.766490396560087939e-02+0.000000000000000000e+00j)  (3.457479375524687582e-03-1.869043190791342809e-05j)
 (-5.061335590302235010e-02+0.000000000000000000e+00j)  (1.461081732760014518e-01+0.000000000000000000e+00j)  (-1.346044220964357505e-03+9.977656214583475233e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.753298079312017588e-01+0.000000000000000000e+00j)  (-2.694575801152656203e-03-2.391598470715487396e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-1.168865386208011725e-01+0.000000000000000000e+00j)  (-3.557911675798452762e-03+1.066345933055932223e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-5.844326931040058626e-02+0.000000000000000000e+00j)  (2.265294986941645758e-02+1.857720060500689841e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (-6.982366281345643300e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (5.844326931040058626e-02+0.000000000000000000e+00j)  (2.265294986941645758e-02-1.857720060500689841e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.168865386208011725e-01+0.000000000000000000e+00j)  (-3.557911675798452762e-03-1.066345933055932223e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.753298079312017588e-01+0.000000000000000000e+00j)  (-2.694575801152656203e-03+2.391598470715487396e-05j)
 (5.061335590302235010e-02+0.000000000000000000e+00j)  (-1.461081732760014518e-01+0.000000000000000000e+00j)  (-1.346044220964357505e-03-9.977656214583475233e-05j)
 (5.061335590302235010e-02+0.000000000000000000e+00j)  (-8.766490396560087939e-02+0.000000000000000000e+00j)  (3.457479375524687582e-03+1.869043190791342809e-05j)
